ip,ip_channel_4
31,6
36,2
60,1
81,3
92,4
95,2
122,1
126,1
151,1
169,1
176,3
195,3
196,5
198,8
209,2
222,8
231,9
235,1
246,11
247,1
268,3
279,6
288,2
302,1
315,1
340,2
353,3
365,1
368,1
381,1
392,5
405,2
439,4
440,3
444,1
445,4
464,2
470,1
472,5
475,3
493,3
509,3
510,2
525,1
563,8
596,4
623,4
645,2
658,1
673,1
685,5
705,3
706,1
724,1
728,8
738,3
745,1
746,1
763,1
767,3
769,1
770,1
806,3
812,9
814,2
826,8
832,2
835,3
837,1
853,6
860,8
869,3
871,6
873,1
879,3
892,1
913,15
918,2
925,3
944,14
959,8
973,5
974,8
988,1
1003,17
1012,5
1016,2
1025,6
1036,9
1041,15
1049,10
1067,4
1070,2
1074,10
1082,5
1089,3
1091,11
1092,11
1108,1
1114,2
1117,5
1140,8
1142,5
1176,8
1186,2
1206,6
1235,9
1237,2
1256,15
1261,1
1266,1
1285,22
1289,1
1292,2
1313,8
1319,1
1337,7
1343,5
1365,13
1372,4
1395,1
1413,2
1414,1
1415,8
1419,1
1433,4
1439,6
1462,9
1494,7
1519,19
1543,9
1549,8
1560,1
1579,2
1583,7
1584,16
1586,4
1603,9
1626,6
1634,3
1655,1
1659,4
1661,2
1665,6
1694,12
1697,2
1699,7
1702,2
1709,2
1716,1
1720,4
1721,1
1732,3
1755,3
1759,3
1763,3
1768,1
1769,2
1778,2
1780,12
1798,2
1801,11
1810,5
1863,1
1868,1
1871,3
1881,1
1890,17
1892,9
1909,2
1919,3
1923,1
1992,1
2017,1
2027,2
2076,27
2095,36
2112,1
2113,5
2127,11
2128,1
2153,4
2160,6
2178,4
2180,10
2186,2
2187,1
2189,3
2207,11
2208,9
2210,12
2211,7
2228,4
2254,7
2284,3
2290,6
2293,3
2306,1
2332,9
2334,12
2343,1
2358,1
2359,1
2372,6
2378,1
2385,1
2399,3
2404,9
2407,4
2409,1
2442,3
2458,1
2463,1
2469,6
2478,6
2491,5
2494,5
2502,1
2511,1
2513,3
2528,7
2539,2
2544,1
2561,2
2564,10
2565,6
2572,13
2585,1
2589,13
2596,1
2600,16
2603,10
2614,1
2615,2
2638,4
2643,1
2669,2
2671,3
2684,3
2698,10
2710,2
2728,1
2732,1
2735,2
2740,2
2742,3
2748,8
2759,4
2760,1
2770,12
2773,5
2780,9
2784,4
2801,2
2805,30
2808,2
2810,5
2821,6
2842,1
2844,1
2849,3
2858,6
2864,5
2876,1
2895,2
2911,1
2919,1
2933,2
2938,10
2941,3
2959,1
2965,7
2976,2
2979,2
2986,1
2988,1
2996,1
3005,3
3009,1
3038,12
3048,3
3084,6
3093,6
3101,1
3102,3
3103,5
3131,2
3133,8
3163,1
3167,1
3178,1
3179,2
3183,1
3196,4
3197,1
3210,12
3218,1
3219,12
3239,4
3253,2
3262,2
3279,4
3288,6
3294,3
3307,3
3313,6
3332,5
3339,7
3355,2
3363,2
3376,3
3382,3
3403,1
3406,1
3410,2
3425,1
3432,2
3437,5
3442,1
3461,2
3471,8
3472,12
3488,1
3505,7
3520,6
3553,6
3559,10
3564,4
3576,1
3594,3
3611,2
3634,4
3653,1
3688,3
3730,6
3737,8
3743,3
3744,4
3756,3
3763,1
3782,1
3794,7
3808,2
3835,3
3844,1
3845,2
3859,2
3860,2
3875,1
3882,5
3889,1
3903,1
3904,1
3907,3
3964,37
3981,7
3994,41
4015,1
4019,36
4052,36
4075,3
4093,13
4094,8
4102,3
4127,4
4147,5
4173,1
4174,1
4180,1
4203,5
4214,2
4220,10
4259,1
4264,1
4270,2
4271,1
4280,4
4295,8
4296,1
4303,6
4308,6
4324,5
4330,6
4334,4
4345,8
4353,4
4361,1
4393,7
4397,2
4398,1
4403,16
4405,10
4414,7
4427,6
4436,13
4437,1
4442,5
4461,6
4464,2
4465,2
4476,2
4486,4
4489,3
4503,1
4511,1
4514,2
4536,1
4542,2
4548,2
4553,3
4559,2
4563,3
4565,2
4567,2
4570,2
4573,2
4577,2
4602,7
4630,1
4643,2
4646,13
4652,7
4664,6
4670,1
4676,2
4678,3
4683,2
4689,1
4690,4
4693,4
4722,6
4737,3
4741,2
4759,3
4777,8
4779,1
4806,1
4825,1
4841,3
4862,6
4875,9
4876,2
4886,2
4903,1
4919,4
4946,5
4951,2
4957,2
4964,3
4977,8
4983,11
4989,26
5011,3
5032,6
5036,1
5038,9
5044,8
5065,2
5072,15
5074,4
5077,1
5098,2
5118,2
5125,2
5132,6
5135,7
5168,2
5200,6
5222,2
5223,1
5250,1
5257,2
5262,1
5270,1
5275,4
5281,5
5282,1
5296,4
5299,8
5300,3
5306,2
5308,1
5313,9
5314,54
5323,3
5325,3
5328,1
5333,1
5336,3
5341,8
5348,57
5359,4
5362,1
5369,1
5371,1
5384,1
5393,1
5402,2
5404,3
5423,5
5433,20
5449,8
