ip,device,os,ip_device_os_app_4
31,1,20,5
36,1,10,3
60,1,10,1
81,1,13,4
92,1,13,1
92,1,19,1
92,2,8,2
92,2,37,1
95,1,17,3
122,1,13,1
126,1,20,1
151,1,13,1
169,1,6,1
176,1,19,3
195,1,18,3
196,1,14,5
198,1,13,6
198,3032,607,1
209,1,19,2
222,1,9,5
222,1,27,1
222,1,28,1
231,1,13,7
231,2,4,2
235,1,19,1
246,1,19,10
247,1,17,1
268,1,17,4
279,1,15,1
279,1,16,4
279,1,19,1
279,2,58,1
288,2,14,1
288,2,90,1
302,3032,607,1
315,1,18,1
340,1,49,2
353,1,19,2
353,1,22,1
365,1,27,1
368,1,19,1
381,1,17,1
392,1,6,5
405,1,13,2
439,1,22,3
439,1,37,1
440,1,13,4
444,0,38,1
445,1,10,4
464,1,46,2
470,3032,607,1
472,1,16,3
472,1,19,3
475,1,6,3
493,1,13,4
509,1,19,3
509,1,22,1
510,1,19,2
525,1,18,1
563,1,13,3
563,1,37,6
596,1,19,4
596,1,47,1
596,1,607,1
623,1,3,4
645,1,17,2
658,1,13,1
673,1,19,2
685,1,25,5
705,1,12,3
706,1,3,1
724,1,19,1
728,1,19,8
738,1,19,3
745,1,28,1
746,1,41,1
763,1,10,1
767,1,13,4
769,1,9,1
770,1,13,1
806,1,4,1
806,1,49,2
812,1,10,7
812,1,13,3
814,1,6,2
826,1,9,7
832,1,13,2
835,1,13,1
835,1,23,3
837,1,11,1
853,1,19,6
860,1,13,2
860,1,17,6
869,1,15,3
871,1,19,1
871,2,19,5
873,1,37,1
879,1,18,4
892,1,4,1
913,1,13,2
913,1,19,1
913,1,20,1
913,1,22,1
913,1,47,8
913,3032,607,1
918,1,25,2
925,1,18,1
925,1,19,2
944,1,13,6
944,1,18,7
959,1,13,1
959,1,25,2
959,2,9,6
959,2,13,1
973,1,19,5
974,1,13,2
974,1,19,3
974,1,22,3
974,2,8,3
974,2,9,4
988,1,16,1
1003,1,9,7
1003,1,10,5
1003,1,17,4
1003,1,607,1
1012,1,13,5
1016,1,17,2
1025,1,13,3
1025,1,17,1
1025,1,19,4
1025,1,37,1
1036,1,8,4
1036,1,9,4
1036,1,18,2
1036,2,19,3
1041,1,10,9
1041,1,19,3
1049,1,3,1
1049,1,16,6
1049,1,17,1
1049,1,19,1
1049,1,30,1
1049,3032,607,1
1067,1,15,4
1070,1,18,2
1074,1,3,1
1074,1,13,4
1074,2,13,4
1082,1,13,1
1082,1,19,2
1082,1,22,1
1082,1,23,3
1082,1,25,1
1082,1,53,1
1089,1,13,4
1091,1,30,4
1091,1,98,1
1091,2,9,2
1091,2,25,6
1092,1,10,1
1092,1,18,7
1092,1,32,4
1092,2,11,1
1108,1,19,1
1114,1,25,2
1117,1,13,4
1117,1,41,2
1140,1,16,9
1142,1,8,2
1142,1,19,1
1142,1,40,2
1176,1,10,4
1176,1,13,2
1176,1,17,4
1186,1,13,3
1206,1,10,6
1235,1,19,6
1235,1,34,4
1237,1,12,1
1237,1,19,1
1256,1,13,10
1256,1,18,3
1261,1,19,1
1266,1,28,1
1285,1,6,4
1285,1,17,3
1285,1,18,3
1285,1,19,9
1285,1,20,4
1289,1,19,1
1292,1,20,2
1313,1,13,4
1313,1,17,2
1313,1,37,2
1313,3032,607,1
1319,1,19,1
1337,1,13,4
1337,1,22,2
1337,1,23,3
1343,1,13,3
1343,1,41,2
1365,1,16,1
1365,1,17,4
1365,1,18,2
1365,1,19,3
1365,1,23,3
1365,1,25,1
1372,1,37,4
1372,3032,607,1
1395,1,19,1
1413,1,19,2
1414,1,17,1
1415,1,13,5
1415,1,18,1
1415,1,19,2
1419,1,6,1
1433,1,14,4
1439,0,24,1
1439,1,19,5
1462,1,13,2
1462,1,19,3
1462,1,31,3
1494,1,17,5
1494,1,26,3
1519,1,8,4
1519,1,13,10
1519,1,17,3
1519,1,19,3
1519,1,25,5
1519,1,32,1
1543,1,13,5
1543,1,14,6
1543,1,607,1
1549,1,1,2
1549,1,19,3
1549,1,66,3
1560,1,8,1
1579,1,2,1
1579,1,19,2
1583,1,6,5
1584,1,18,12
1586,1,13,3
