device,device_confRate
0,0.05455932899704306
1,0.0013070220787759572
2,0.0
16,0.0
18,0.0
21,0.06361616729595498
29,0.0
30,0.0
33,0.030102999566398118
37,0.0
40,0.030102999566398118
46,0.060205999132796235
49,0.0
51,0.0
56,0.0
59,0.0
61,0.0
67,0.0
73,0.0
88,0.0
90,0.0
93,0.0
95,0.0
100,0.0
107,0.0
109,0.0
114,0.0
154,0.0
184,0.0
190,0.0
208,0.0
211,0.030102999566398118
212,0.0
220,0.0
230,0.0
251,0.03180808364797749
263,0.0
276,0.030102999566398118
305,0.0
343,0.0
362,0.0
374,0.0
379,0.0
387,0.0
405,0.0
417,0.0
486,0.0
501,0.0
537,0.0
558,0.0
629,0.0
657,0.0
685,0.030102999566398118
737,0.0
1080,0.0
1214,0.0
1532,0.030102999566398118
2706,0.0
3032,0.0
