device,os,channel,device_os_channel_confRate
0,0,210,0.0
0,0,213,0.03681245914855485
0,0,268,0.0
0,0,347,0.0
0,21,101,0.0
0,21,213,0.04038169266166828
0,21,243,0.0
0,21,347,0.05591760034688151
0,24,101,0.0
0,24,210,0.060205999132796235
0,24,213,0.048061799739838866
0,24,268,0.0
0,24,333,0.0
0,24,343,0.03180808364797749
0,24,347,0.03427518007097959
0,29,101,0.0
0,29,210,0.0
0,29,213,0.022577249674798586
0,29,347,0.0
0,38,101,0.0
0,38,213,0.0
0,38,268,0.0
0,38,333,0.0
0,38,347,0.0
0,50,213,0.0
0,50,347,0.0
0,59,101,0.0
0,67,224,0.0
0,76,347,0.0
0,607,222,0.0
0,607,282,0.0
0,607,320,0.0
0,607,341,0.0
1,1,3,0.0
1,1,17,0.0
1,1,19,0.0
1,1,21,0.0
1,1,101,0.030102999566398118
1,1,107,0.0
1,1,110,0.0
1,1,111,0.0
1,1,115,0.0
1,1,116,0.0
1,1,121,0.0
1,1,122,0.0
1,1,124,0.0
1,1,125,0.0
1,1,128,0.013947472278925621
1,1,130,0.0
1,1,134,0.0
1,1,135,0.0
1,1,137,0.0
1,1,140,0.0
1,1,145,0.0
1,1,153,0.0
1,1,173,0.0
1,1,178,0.0
1,1,205,0.0
1,1,211,0.0
1,1,212,0.0
1,1,213,0.0
1,1,215,0.0
1,1,219,0.0
1,1,232,0.0
1,1,234,0.0
1,1,236,0.0
1,1,237,0.0
1,1,242,0.0
1,1,243,0.0
1,1,244,0.0
1,1,245,0.0
1,1,258,0.0
1,1,259,0.0
1,1,265,0.0
1,1,266,0.0
1,1,278,0.0
1,1,280,0.0
1,1,315,0.0
1,1,319,0.0
1,1,325,0.0
1,1,326,0.0
1,1,328,0.0
1,1,349,0.0
1,1,364,0.0
1,1,376,0.0
1,1,377,0.027958800173440754
1,1,379,0.0
1,1,386,0.0
1,1,400,0.0
1,1,401,0.0
1,1,402,0.0
1,1,409,0.0
1,1,412,0.0
1,1,417,0.0
1,1,424,0.0
1,1,430,0.0
1,1,435,0.0
1,1,439,0.0
1,1,442,0.0
1,1,445,0.0
1,1,452,0.0
1,1,459,0.0
1,1,463,0.0
1,1,466,0.0
1,1,467,0.0
1,1,469,0.0
1,1,477,0.0
1,1,480,0.0
1,1,481,0.0
1,1,487,0.0
1,1,489,0.0
1,1,497,0.0
1,2,3,0.0
1,2,13,0.0
1,2,19,0.0
1,2,101,0.0
1,2,107,0.0
1,2,110,0.0
1,2,111,0.0
1,2,115,0.0
1,2,116,0.0
1,2,125,0.0
1,2,128,0.0
1,2,130,0.0
1,2,134,0.0
1,2,135,0.0
1,2,137,0.0
1,2,140,0.0
1,2,145,0.0
1,2,153,0.0
1,2,173,0.0
1,2,178,0.0
1,2,182,0.0
1,2,205,0.0
1,2,213,0.0
1,2,215,0.0
1,2,219,0.0
1,2,232,0.0
1,2,234,0.0
1,2,236,0.0
1,2,244,0.0
1,2,258,0.0
1,2,259,0.0
1,2,265,0.0
1,2,266,0.0
1,2,280,0.0
1,2,315,0.0
1,2,326,0.0
1,2,349,0.0
1,2,376,0.0
1,2,379,0.0
1,2,400,0.0
1,2,409,0.0
1,2,424,0.0
1,2,430,0.0
1,2,435,0.0
1,2,439,0.0
1,2,442,0.0
1,2,452,0.0
1,2,459,0.0
1,2,463,0.0
1,2,466,0.0
1,2,469,0.0
1,2,477,0.0
1,2,478,0.0
1,2,480,0.0
1,2,481,0.0
1,2,487,0.0
1,3,3,0.0
1,3,17,0.0
1,3,19,0.0
1,3,21,0.0
1,3,30,0.0
1,3,107,0.0
1,3,110,0.0
1,3,111,0.0
1,3,113,0.0
1,3,115,0.0
1,3,116,0.0
1,3,121,0.0
1,3,122,0.0
1,3,123,0.0
1,3,124,0.0
1,3,125,0.0
1,3,128,0.0
1,3,130,0.0
1,3,134,0.0
1,3,135,0.0
1,3,137,0.0
1,3,140,0.0
1,3,145,0.0024193168609188084
1,3,150,0.0
1,3,153,0.0
1,3,173,0.0
1,3,178,0.0
1,3,205,0.0
1,3,211,0.0
1,3,212,0.0
1,3,215,0.0
1,3,219,0.0
1,3,232,0.0
1,3,234,0.0
1,3,236,0.0
1,3,237,0.0
1,3,242,0.0
1,3,243,0.0
1,3,244,0.0
1,3,245,0.0
1,3,258,0.0
1,3,259,0.0
1,3,265,0.0
1,3,266,0.0
1,3,278,0.0
1,3,280,0.0
1,3,315,0.0
1,3,319,0.0
1,3,325,0.0
1,3,326,0.0
1,3,328,0.0
1,3,343,0.0
1,3,349,0.0
1,3,364,0.0
1,3,376,0.0
1,3,377,0.0
1,3,379,0.0
1,3,386,0.0
1,3,400,0.0
1,3,401,0.0
1,3,402,0.0
1,3,409,0.0
1,3,412,0.0
1,3,417,0.0
1,3,420,0.0
1,3,424,0.0
1,3,430,0.0
1,3,435,0.0
1,3,439,0.0
1,3,442,0.0
1,3,445,0.0
1,3,446,0.0
1,3,452,0.0
1,3,459,0.0
1,3,463,0.0
1,3,466,0.0
1,3,467,0.0
1,3,469,0.0
1,3,477,0.0
1,3,478,0.0
1,3,480,0.0
1,3,481,0.0
1,3,487,0.0
1,3,489,0.0
1,3,497,0.0
1,4,3,0.0
1,4,19,0.0
1,4,107,0.0
1,4,110,0.0
1,4,111,0.0
1,4,116,0.0
1,4,121,0.0
1,4,122,0.0
1,4,125,0.0
1,4,128,0.0
1,4,130,0.0
1,4,134,0.0
1,4,135,0.0
1,4,137,0.0
1,4,140,0.0
1,4,145,0.0
1,4,153,0.0
1,4,173,0.0
1,4,178,0.0
1,4,205,0.0
1,4,211,0.0
1,4,212,0.0
1,4,215,0.0
1,4,219,0.0
1,4,232,0.0
1,4,234,0.0
1,4,237,0.0
1,4,245,0.0
1,4,259,0.0
1,4,265,0.0
1,4,266,0.0
1,4,278,0.0
1,4,280,0.0
1,4,317,0.0
1,4,319,0.0
1,4,325,0.0
1,4,328,0.0
1,4,349,0.0
1,4,364,0.0
1,4,377,0.0
1,4,379,0.0
1,4,386,0.0
1,4,400,0.0
1,4,401,0.0
1,4,412,0.0
1,4,424,0.0
