ip,channel,ip_channel_confRate
31,140,0.0
31,178,0.0
31,215,0.0
31,259,0.0
31,400,0.0
31,442,0.0
36,121,0.0
36,245,0.0
60,245,0.0
81,134,0.0
81,140,0.0
81,145,0.0
92,110,0.0
92,128,0.0
92,137,0.0
92,244,0.0
95,121,0.0
95,245,0.0
122,137,0.0
126,21,0.0
151,215,0.0
169,215,0.0
176,122,0.0
176,153,0.0
176,266,0.0
195,134,0.0
195,145,0.0
195,215,0.0
196,107,0.0
196,178,0.0
196,265,0.0
196,280,0.0
196,459,0.0
198,3,0.0
198,115,0.0
198,125,0.0
198,135,0.0
198,258,0.0
198,259,0.0
198,347,0.0
198,442,0.0
209,140,0.0
209,442,0.0
222,3,0.0
222,107,0.0
222,115,0.0
222,125,0.0
222,135,0.0
222,258,0.0
222,259,0.0
222,442,0.0
231,121,0.0
231,125,0.0
231,205,0.0
231,215,0.0
231,328,0.0
231,386,0.0
231,435,0.0
231,463,0.0
231,477,0.0
235,128,0.0
246,121,0.0
246,134,0.0
246,135,0.0
246,153,0.0
246,219,0.0
246,328,0.0
246,379,0.0
246,409,0.0
246,424,0.0
246,466,0.0
246,489,0.0
247,477,0.0
268,121,0.0
268,145,0.0
268,245,0.0
279,107,0.0
279,134,0.0
279,140,0.0
279,145,0.0
279,244,0.0
279,477,0.0
288,123,0.0
288,140,0.0
302,107,0.0
315,244,0.0
340,259,0.0
340,459,0.0
353,137,0.0
353,245,0.0
353,280,0.0
365,245,0.0
368,215,0.0
381,125,0.0
392,205,0.0
392,377,0.0
392,386,0.0
392,409,0.0
392,463,0.0
405,265,0.0
405,280,0.0
439,128,0.0
439,265,0.0
439,280,0.0
439,477,0.0
440,134,0.0
440,140,0.0
440,145,0.0
444,213,0.0
445,140,0.0
445,178,0.0
445,215,0.0
445,400,0.0
464,245,0.0
464,452,0.0
470,347,0.0
472,140,0.0
472,153,0.0
472,215,0.0
472,265,0.0
472,467,0.0
475,110,0.0
475,134,0.0
475,178,0.0
493,134,0.0
493,140,0.0
493,145,0.0
509,121,0.0
509,245,0.0
509,480,0.0
510,265,0.0
510,280,0.0
525,376,0.0
563,125,0.0
563,140,0.0
563,145,0.0
563,153,0.0
563,178,0.0
563,258,0.0
563,259,0.0
563,442,0.0
596,107,0.0
596,134,0.0
596,400,0.0
596,459,0.0
623,110,0.0
623,134,0.0
623,178,0.0
623,280,0.0
645,245,0.0
645,452,0.0
658,215,0.0
673,459,0.0
685,140,0.0
685,178,0.0
685,259,0.0
685,400,0.0
685,442,0.0
705,134,0.0
705,140,0.0
705,145,0.0
706,245,0.0
724,215,0.0
728,122,0.0
728,134,0.0
728,137,0.0
