ip,channel,os,ip_channel_os_confRate
31,140,20,0.0
31,178,20,0.0
31,215,20,0.0
31,259,20,0.0
31,400,20,0.0
31,442,20,0.0
36,121,10,0.0
36,245,10,0.0
60,245,10,0.0
81,134,13,0.0
81,140,13,0.0
81,145,13,0.0
92,110,8,0.0
92,128,8,0.0
92,128,19,0.0
92,137,37,0.0
92,244,13,0.0
95,121,17,0.0
95,245,17,0.0
122,137,13,0.0
126,21,20,0.0
151,215,13,0.0
169,215,6,0.0
176,122,19,0.0
176,153,19,0.0
176,266,19,0.0
195,134,18,0.0
195,145,18,0.0
195,215,18,0.0
196,107,14,0.0
196,178,14,0.0
196,265,14,0.0
196,280,14,0.0
196,459,14,0.0
198,3,13,0.0
198,115,13,0.0
198,125,13,0.0
198,135,13,0.0
198,258,13,0.0
198,259,13,0.0
198,347,607,0.0
198,442,13,0.0
209,140,19,0.0
209,442,19,0.0
222,3,27,0.0
222,107,28,0.0
222,115,9,0.0
222,125,9,0.0
222,135,9,0.0
222,258,9,0.0
222,259,9,0.0
222,442,9,0.0
231,121,13,0.0
231,125,4,0.0
231,205,13,0.0
231,215,4,0.0
231,328,13,0.0
231,386,13,0.0
231,435,13,0.0
231,463,13,0.0
231,477,13,0.0
235,128,19,0.0
246,121,19,0.0
246,134,19,0.0
246,135,19,0.0
246,153,19,0.0
246,219,19,0.0
246,328,19,0.0
246,379,19,0.0
246,409,19,0.0
246,424,19,0.0
246,466,19,0.0
246,489,19,0.0
247,477,17,0.0
268,121,17,0.0
268,145,17,0.0
268,245,17,0.0
279,107,19,0.0
279,134,16,0.0
279,140,16,0.0
279,145,16,0.0
279,244,58,0.0
279,477,15,0.0
288,123,90,0.0
288,140,14,0.0
302,107,607,0.0
315,244,18,0.0
340,259,49,0.0
340,459,49,0.0
353,137,19,0.0
353,245,19,0.0
353,280,22,0.0
365,245,27,0.0
368,215,19,0.0
381,125,17,0.0
392,205,6,0.0
392,377,6,0.0
392,386,6,0.0
392,409,6,0.0
392,463,6,0.0
405,265,13,0.0
405,280,13,0.0
439,128,37,0.0
439,265,22,0.0
439,280,22,0.0
439,477,22,0.0
440,134,13,0.0
440,140,13,0.0
440,145,13,0.0
444,213,38,0.0
445,140,10,0.0
445,178,10,0.0
445,215,10,0.0
445,400,10,0.0
464,245,46,0.0
464,452,46,0.0
470,347,607,0.0
472,140,16,0.0
472,153,16,0.0
472,215,16,0.0
472,215,19,0.0
472,265,19,0.0
472,467,19,0.0
475,110,6,0.0
475,134,6,0.0
475,178,6,0.0
493,134,13,0.0
493,140,13,0.0
493,145,13,0.0
509,121,19,0.0
509,245,19,0.0
509,480,22,0.0
510,265,19,0.0
510,280,19,0.0
525,376,18,0.0
563,125,37,0.0
563,140,13,0.0
563,145,37,0.0
563,153,13,0.0
563,178,37,0.0
563,258,37,0.0
563,259,37,0.0
563,442,13,0.0
563,442,37,0.0
596,107,19,0.0
596,134,19,0.0
596,134,47,0.0
596,400,607,0.0
596,459,19,0.0
623,110,3,0.0
623,134,3,0.0
623,178,3,0.0
623,280,3,0.0
645,245,17,0.0
645,452,17,0.0
658,215,13,0.0
673,459,19,0.0
685,140,25,0.0
685,178,25,0.0
685,259,25,0.0
685,400,25,0.0
685,442,25,0.0
705,134,12,0.0
705,140,12,0.0
705,145,12,0.0
706,245,3,0.0
724,215,19,0.0
728,122,19,0.0
728,134,19,0.0
728,137,19,0.0
728,153,19,0.0
728,265,19,0.0
728,325,19,0.0
728,439,19,0.0
728,452,19,0.0
738,134,19,0.0
738,178,19,0.0
738,280,19,0.0
745,215,28,0.0
