ip,ip_confRate
31,0.0
36,0.0
60,0.0
81,0.0
92,0.0
95,0.0
122,0.0
126,0.0
151,0.0
169,0.0
176,0.0
195,0.0
196,0.0
198,0.0
209,0.0
222,0.0
231,0.0
235,0.0
246,0.0
247,0.0
268,0.0
279,0.0
288,0.0
302,0.0
315,0.0
340,0.0
353,0.0
365,0.0
368,0.0
381,0.0
392,0.0
405,0.0
439,0.0
440,0.0
444,0.0
445,0.0
464,0.0
470,0.0
472,0.0
475,0.0
493,0.0
509,0.0
510,0.0
525,0.0
563,0.0
596,0.0
623,0.0
645,0.0
658,0.0
673,0.0
685,0.0
705,0.0
706,0.0
724,0.0
728,0.0
738,0.0
745,0.0
746,0.0
763,0.0
767,0.0
769,0.0
770,0.0
806,0.0
812,0.0
814,0.0
826,0.0
832,0.0
835,0.0
837,0.0
853,0.0
860,0.0
869,0.0
871,0.0
873,0.0
879,0.0
892,0.0
913,0.0
918,0.0
925,0.0
944,0.0
959,0.0
973,0.0
974,0.0
988,0.0
1003,0.0
1012,0.0
1016,0.0
1025,0.0
1036,0.0
1041,0.0
1049,0.0
1067,0.0
1070,0.0
1074,0.0
1082,0.0
1089,0.0
1091,0.0
1092,0.0
1108,0.0
1114,0.0
1117,0.0
1140,0.0
1142,0.0
1176,0.0
1186,0.0
1206,0.0
1235,0.0
1237,0.0
1256,0.0
1261,0.0
1266,0.0
1285,0.0
1289,0.0
1292,0.0
1313,0.0
1319,0.0
1337,0.0
1343,0.0
1365,0.0
1372,0.0
1395,0.0
1413,0.0
1414,0.0
1415,0.0
1419,0.0
1433,0.0
1439,0.0
1462,0.0
1494,0.0
1519,0.0
1543,0.0
1549,0.0
1560,0.0
1579,0.0
1583,0.0
1584,0.0
1586,0.0
1603,0.0
1626,0.0
1634,0.0
1655,0.0
1659,0.0
1661,0.0
1665,0.0
1694,0.0
1697,0.0
1699,0.0
1702,0.0
1709,0.0
1716,0.0
1720,0.0
1721,0.0
1732,0.0
1755,0.0
1759,0.0
1763,0.0
1768,0.0
1769,0.0
1778,0.0
1780,0.0
1798,0.0
1801,0.0
1810,0.0
1863,0.0
1868,0.0
1871,0.0
1881,0.0
1890,0.012592564711751611
1892,0.0
1909,0.0
1919,0.0
1923,0.0
