device,device_os_0
0,983
1,189797
2,7862
3,226
5,32
6,4
7,5
9,1
14,1
16,9
18,4
21,10
24,1
25,1
27,1
29,3
30,3
33,6
34,1
35,1
36,1
37,2
40,11
44,2
46,5
49,4
50,3
51,1
56,3
59,20
60,1
61,3
64,1
67,6
68,1
73,1
76,2
82,1
88,7
89,1
90,2
91,2
93,1
94,1
95,1
96,3
100,1
101,1
102,2
107,2
109,3
114,7
118,1
124,2
133,1
154,3
156,1
157,1
160,1
161,1
177,1
184,1
187,1
189,1
190,1
201,1
203,3
208,1
209,1
210,3
211,4
212,1
220,2
229,1
230,1
231,4
240,1
251,3
253,1
260,2
263,1
274,2
275,2
276,2
290,1
292,1
299,2
305,1
309,1
317,1
331,1
343,1
357,1
362,1
367,1
372,1
374,1
379,1
387,1
405,1
417,2
422,1
452,1
462,4
486,2
501,1
537,2
545,1
558,1
581,1
629,1
657,1
671,1
685,2
698,1
737,1
766,2
972,1
1080,1
1214,1
1215,1
1279,1
1514,1
1532,2
1534,1
1546,1
1583,1
1924,1
2111,1
2113,1
2706,1
2865,2
3032,836
