device,os,device_os_channel_0
0,0,283
0,21,97
0,24,297
0,29,92
0,33,18
0,38,98
0,50,65
0,59,15
0,67,4
0,76,4
0,84,1
0,135,1
0,607,8
1,1,2271
1,2,609
1,3,3016
1,4,680
1,5,113
1,6,4674
1,7,210
1,8,6066
1,9,3795
1,10,5733
1,11,1214
1,12,2301
1,13,41981
1,14,2686
1,15,4694
1,16,3247
1,17,9713
1,18,9238
1,19,47180
1,20,4049
1,22,7784
1,23,2076
1,25,4237
1,26,946
1,27,1698
1,28,1545
1,30,1019
1,31,746
1,32,1563
1,33,41
1,34,368
1,35,1763
1,36,642
1,37,2751
1,39,190
1,40,598
1,41,2678
1,42,298
1,43,329
1,44,166
1,45,2
1,46,335
1,47,1154
1,48,195
1,49,543
1,51,71
1,52,15
1,53,1521
1,54,9
1,55,16
1,56,54
1,57,31
1,58,212
1,61,4
1,62,28
1,63,31
1,64,32
1,66,102
1,68,4
1,69,7
1,70,72
1,71,2
1,72,4
1,73,10
1,75,1
1,77,31
1,78,4
1,79,20
1,80,2
1,81,6
1,83,2
1,85,27
1,87,10
1,90,4
1,96,24
1,97,1
1,98,87
1,100,2
1,106,3
1,107,1
1,110,6
1,113,1
1,118,1
1,134,1
1,138,13
1,155,2
1,159,2
1,164,7
1,174,9
1,178,7
1,184,4
1,198,10
1,607,147
2,1,58
2,2,89
2,3,85
2,4,52
2,5,24
2,6,120
2,7,9
2,8,142
2,9,1078
2,10,146
2,11,160
2,12,41
2,13,1341
2,14,55
2,15,129
2,16,134
2,17,519
2,18,288
2,19,1081
2,20,115
2,22,191
2,23,14
2,25,147
2,26,26
2,27,138
2,28,51
2,30,98
2,31,11
2,32,131
2,33,9
2,35,50
2,36,92
2,37,173
2,40,60
2,41,40
2,42,55
2,43,39
2,44,8
2,47,71
2,49,175
2,52,12
2,53,19
2,55,11
2,56,24
2,58,77
2,60,28
2,63,38
2,64,43
2,65,76
2,66,31
2,70,14
2,73,15
2,74,3
2,77,12
2,78,3
2,79,84
2,80,3
2,85,2
2,86,1
2,88,3
2,90,24
2,92,2
2,95,3
2,96,2
2,97,30
2,100,11
2,109,2
2,111,2
2,112,2
2,114,4
2,123,2
2,145,2
2,184,3
2,287,1
2,607,28
3,33,224
3,67,2
5,45,32
6,29,4
7,21,5
9,24,1
14,24,1
16,0,9
18,0,4
21,24,10
24,29,1
25,24,1
27,24,1
29,24,3
30,0,3
33,29,6
34,24,1
35,24,1
36,0,1
37,24,2
40,24,11
44,0,2
46,0,5
49,21,4
50,0,3
51,29,1
56,24,3
59,3,4
59,8,5
59,9,1
59,10,1
59,11,1
59,12,1
59,13,4
59,16,2
59,28,1
60,38,1
61,21,3
64,59,1
67,24,6
68,0,1
73,24,1
76,24,2
82,24,1
88,24,7
89,21,1
90,24,2
91,0,1
91,67,1
93,0,1
94,21,1
95,21,1
96,50,3
100,67,1
101,29,1
102,24,2
107,59,2
109,29,3
114,0,7
118,24,1
124,0,2
133,38,1
154,50,3
156,0,1
157,59,1
160,0,1
161,38,1
177,0,1
184,21,1
187,0,1
189,29,1
190,24,1
201,29,1
203,24,3
208,0,1
209,24,1
210,24,3
211,29,4
212,21,1
220,21,2
229,59,1
230,24,1
231,21,2
231,24,2
240,0,1
251,29,3
253,76,1
260,24,2
263,21,1
274,21,2
275,38,2
276,38,2
290,24,1
292,24,1
299,0,2
305,76,1
309,21,1
317,24,1
331,29,1
343,0,1
357,24,1
362,0,1
367,29,1
372,24,1
374,29,1
379,24,1
387,0,1
405,21,1
417,24,2
422,24,1
452,76,1
462,0,4
486,24,2
501,38,1
537,38,2
545,24,1
558,29,1
581,24,1
629,24,1
657,24,1
671,59,1
685,38,2
698,21,1
737,29,1
766,0,2
972,76,1
1080,24,1
1214,24,1
1215,24,1
1279,21,1
1514,38,1
1532,0,2
1534,67,1
1546,0,1
1583,29,1
1924,38,1
2111,50,1
2113,0,1
2706,0,1
2865,24,2
3032,607,836
