ip,ip_channel_4
9,1
19,1
20,3
27,7
31,8
36,2
45,1
60,2
81,3
88,4
92,4
95,2
108,1
117,11
122,1
126,1
129,3
134,4
147,1
151,2
169,1
174,4
176,3
177,1
178,1
184,4
190,9
195,15
196,11
198,13
199,1
202,14
209,2
220,14
222,8
231,9
235,2
246,11
247,2
254,8
255,20
268,8
278,1
279,6
280,1
288,2
302,2
315,13
340,2
353,4
365,4
368,1
372,4
381,3
387,5
392,10
394,1
405,4
407,4
411,1
432,3
436,1
439,4
440,3
441,5
444,1
445,5
464,2
470,1
472,8
475,3
482,1
489,1
493,3
499,3
509,6
510,8
521,2
522,17
523,7
525,7
531,1
540,1
550,1
552,7
563,9
573,2
585,1
596,6
599,1
603,7
623,4
627,1
645,2
657,2
658,1
666,1
669,1
673,3
676,2
685,5
687,1
705,5
706,1
724,1
728,8
738,3
740,1
742,4
745,1
746,1
750,5
763,14
766,5
767,11
769,1
770,1
772,1
779,5
788,2
798,6
800,1
806,3
807,4
812,13
814,2
815,15
817,1
826,8
831,1
832,6
833,1
835,4
837,3
838,1
846,1
851,1
853,6
860,8
869,12
871,13
873,1
875,2
879,3
892,1
898,1
906,4
913,15
918,6
922,2
925,3
930,2
933,5
944,29
947,7
953,4
959,10
973,8
974,8
988,1
991,4
993,1
1000,7
1003,18
1012,8
1016,2
1025,13
1026,4
1030,1
1036,9
1040,1
1041,16
1044,4
1049,13
1067,4
1070,11
1074,15
1082,21
1089,6
1091,12
1092,12
1096,2
1097,7
1104,1
1105,8
1108,10
1113,1
1114,2
1117,6
1127,15
1140,8
1142,5
1143,10
1147,5
1149,4
1158,2
1165,5
1173,5
1176,16
1186,6
1195,1
1204,19
1206,12
1220,3
1228,6
1235,19
1237,3
1247,4
1256,26
1261,3
1264,1
1266,1
1268,7
1281,4
1285,30
1289,2
1290,1
1292,4
1306,1
1313,15
1314,1
1319,1
1332,10
1337,18
1343,16
1345,2
1357,8
1365,16
1370,1
1372,7
1376,2
1388,4
1393,3
1394,14
1395,8
1413,2
1414,1
1415,23
1419,1
1421,3
1433,9
1439,6
1456,4
1458,6
1462,10
1468,1
1471,1
1477,1
1479,1
1486,3
1493,5
1494,12
1519,22
1523,1
1524,14
1532,1
1543,9
1547,6
1549,8
1556,11
1560,5
1579,2
1583,7
1584,17
1586,4
1600,4
1601,5
1603,9
1611,5
1616,12
1626,9
1632,4
1634,4
1638,16
1655,1
1659,12
1661,6
1665,7
1669,13
1673,24
1675,1
1678,5
1693,1
1694,16
1697,2
1699,7
1700,7
1702,2
1706,2
1709,2
1712,1
1713,4
1716,1
1720,6
1721,1
1722,1
1732,3
1755,3
1759,8
1762,3
1763,12
1766,1
1768,1
1769,8
1771,1
1778,2
1780,13
1785,4
1790,1
1798,2
1800,3
1801,17
1810,15
1813,1
1821,9
1825,2
1826,1
1831,10
1839,2
1863,2
1868,1
1871,3
1881,1
1890,29
1892,9
1900,3
1909,5
1919,7
1921,7
1923,1
1964,7
1990,4
1992,1
1994,2
2017,1
2018,2
2022,7
2027,6
2052,1
2076,42
2086,1
2087,9
2095,45
2105,5
2112,1
2113,7
2119,2
2127,14
2128,1
2144,1
2153,4
2160,6
2162,2
2164,3
2165,8
2171,1
2176,4
2178,4
2180,23
2186,10
2187,2
2189,7
2199,1
2201,10
2207,16
2208,9
2210,12
2211,12
2214,1
2228,7
2235,11
2237,3
2238,1
2254,17
2259,1
2272,9
2277,6
2281,2
2284,4
2290,9
2293,7
2299,1
2306,8
2311,2
2321,7
2332,12
2334,17
2336,1
2343,1
2348,17
2357,9
2358,3
2359,1
2372,11
2378,1
2382,1
2385,9
2388,3
2391,1
2399,4
2400,1
2404,11
2407,9
2409,6
2415,7
2435,1
2437,10
2440,2
2442,3
2450,1
2458,1
2463,10
2468,10
2469,12
2471,1
2478,8
2491,5
2494,5
2502,3
2508,1
2509,5
2511,3
2513,3
2528,12
2531,1
2538,1
2539,5
2544,3
2550,2
2556,13
2561,11
2563,1
2564,17
2565,19
2572,14
2574,7
2578,10
2585,6
2589,14
2596,1
2600,19
2602,2
2603,16
2609,7
2614,2
2615,2
2631,1
2638,5
2643,11
2647,3
2649,7
2651,6
2652,1
2654,3
2655,7
2657,11
2660,15
2668,2
2669,13
2671,20
2680,2
2682,2
2683,8
2684,3
2696,5
2698,16
2710,2
2711,5
2713,4
2714,4
2720,1
2728,2
2732,9
2735,2
2736,2
2740,2
2741,2
2742,3
2748,8
2751,1
2759,15
2760,5
2765,3
2768,2
2770,16
2773,5
2774,6
2779,1
2780,9
2782,2
2784,5
2801,2
2805,32
2808,2
2810,11
2813,2
2814,4
2821,7
2825,7
2841,7
2842,5
2844,1
2847,9
2849,3
2850,1
2851,1
2852,2
2857,3
2858,11
2864,6
2872,12
2876,2
2882,4
2884,1
2886,3
2895,5
2899,1
2903,1
2905,8
2907,4
2911,17
2919,1
2929,2
2933,2
2936,3
2937,6
2938,10
2941,3
2944,9
2949,1
2959,1
2965,7
2966,1
2970,1
2976,4
2979,2
2982,1
2986,1
2988,1
2996,1
3005,3
3009,18
3015,2
3019,10
3020,1
