ip,device,os,ip_device_os_app_4
9,1,1,1
19,1,18,1
20,1,19,1
20,1,32,2
27,1,13,6
27,1,18,1
31,1,13,2
31,1,20,5
36,1,10,3
45,1,13,1
60,1,10,1
60,1,47,1
81,1,13,4
88,1,15,1
88,1,19,2
92,1,13,1
92,1,19,1
92,2,8,2
92,2,37,1
95,1,17,3
108,1,13,1
117,1,15,11
122,1,13,1
126,1,20,1
129,1,19,3
134,1,6,1
134,1,19,3
147,1,13,1
151,1,13,1
151,1,18,1
169,1,6,1
174,1,3,3
174,1,25,1
176,1,19,3
177,1,6,1
178,1,36,1
184,1,13,4
190,1,16,9
195,1,13,13
195,1,18,3
196,1,14,5
196,1,23,6
198,1,13,6
198,1,19,5
198,3032,607,1
199,0,33,1
202,1,18,11
209,1,19,2
220,1,13,7
220,1,18,1
220,1,19,1
220,1,40,6
222,1,9,5
222,1,27,1
222,1,28,1
231,1,13,7
231,2,4,2
235,1,19,3
246,1,19,10
247,1,17,1
247,3,33,1
254,1,20,5
255,1,13,8
255,1,19,12
255,1,22,2
268,1,13,1
268,1,17,4
268,1,19,4
278,1,14,1
279,1,15,1
279,1,16,4
279,1,19,1
279,2,58,1
280,1,12,1
288,2,14,1
288,2,90,1
302,1,6,1
302,3032,607,1
315,1,18,1
315,1,19,2
315,1,25,10
340,1,49,2
353,1,19,3
353,1,22,1
365,1,19,3
365,1,27,1
368,1,19,1
372,1,13,4
381,1,17,1
381,1,18,1
381,1,19,1
387,1,13,2
387,1,17,3
392,1,6,5
392,1,25,5
394,1,13,1
405,1,12,1
405,1,13,2
407,1,14,4
411,1,19,1
432,1,12,1
432,1,13,1
432,1,19,1
436,1,19,1
439,1,22,3
439,1,37,1
440,1,13,4
441,1,2,1
441,1,19,2
441,2,55,3
444,0,38,1
445,1,10,4
445,2,13,1
464,1,46,2
470,3032,607,1
472,1,16,3
472,1,19,3
472,1,41,3
475,1,6,3
482,133,38,1
489,1,25,1
493,1,13,4
499,1,3,2
499,1,19,1
509,1,14,3
509,1,19,3
509,1,22,1
510,1,10,6
510,1,19,2
521,1,6,1
522,1,19,14
523,1,35,5
525,1,9,5
525,1,18,1
531,1,25,1
540,1,19,1
550,2,64,1
552,1,13,5
563,1,13,3
563,1,37,7
573,1,19,2
585,3,33,1
596,1,13,2
596,1,19,4
596,1,47,1
596,1,607,1
599,1,13,1
603,1,17,5
603,1,51,5
623,1,3,4
627,1,19,2
645,1,17,2
657,1,30,2
658,1,13,1
666,1,40,1
669,1,19,1
673,1,19,2
673,1,25,2
676,1,15,1
676,1,37,1
685,1,25,5
687,0,50,1
705,1,12,3
705,1,13,1
705,1,30,1
706,1,3,1
724,1,19,1
728,1,19,8
738,1,19,3
740,1,19,1
742,1,19,3
742,1,25,1
745,1,28,1
746,1,41,1
750,1,13,4
763,1,9,10
763,1,10,4
766,1,13,4
767,1,13,6
767,1,17,5
769,1,9,1
770,1,13,1
772,1,19,1
779,1,8,5
788,1,31,1
798,1,8,5
800,1,6,1
806,1,4,1
806,1,49,2
807,1,8,1
807,1,15,1
807,1,26,2
812,1,10,7
812,1,13,3
812,1,53,4
814,1,6,2
815,1,19,12
817,1,19,1
826,1,9,7
831,1,8,1
832,1,13,2
832,1,17,3
832,1,18,1
833,1,19,1
835,0,0,1
835,1,13,1
835,1,23,3
837,1,9,2
837,1,11,1
838,1,40,1
846,1,19,1
851,1,19,1
853,1,19,6
860,1,13,2
860,1,17,6
869,1,13,1
869,1,15,3
869,1,19,7
871,1,8,1
871,1,13,6
871,1,19,1
871,2,19,5
873,1,37,1
875,1,19,1
875,1,23,1
879,1,18,4
892,1,4,1
898,1,15,1
906,1,13,4
