,app,channel,app_channel_confRate
0,0,101,0.0
1,1,13,0.0
2,1,17,0.0
3,1,18,0.0
4,1,24,0.0
5,1,101,0.0
6,1,115,0.0
7,1,124,0.0
8,1,125,0.0
9,1,134,0.0
10,1,135,0.0
11,1,137,0.0
12,1,150,0.0
13,1,153,0.0
14,1,178,0.0
15,1,213,0.0
16,1,349,0.0
17,1,371,0.0
18,1,377,0.0
19,1,439,0.0
20,1,452,0.0
21,1,460,0.0
22,2,108,0.0
23,2,122,0.0
24,2,205,0.0
25,2,212,0.0
26,2,213,0.05591760034688151
27,2,219,0.0010412530662843916
28,2,224,0.0
29,2,236,0.0
30,2,237,0.0
31,2,243,0.0
32,2,258,0.0
33,2,364,0.0
34,2,377,0.0027277963142501613
35,2,401,0.0
36,2,435,0.0
37,2,452,0.0
38,2,469,0.0
39,2,477,0.0
40,3,19,0.0
41,3,30,0.0
42,3,110,0.0
43,3,113,0.0
44,3,115,0.0
45,3,130,0.0
46,3,135,0.0
47,3,137,0.0007234658892350389
48,3,153,0.0
49,3,173,0.0
50,3,182,0.0
51,3,205,0.0
52,3,211,0.0
53,3,280,0.00023316887678364128
54,3,353,0.0
55,3,371,0.0
56,3,379,0.0
57,3,402,0.0
58,3,409,0.0
59,3,417,0.0
60,3,421,0.0
61,3,424,0.0
62,3,442,0.0
63,3,452,0.0
64,3,456,0.0
65,3,466,0.0
66,3,480,0.001363752275046151
67,3,488,0.0
68,3,489,0.0011814014881974713
69,4,101,0.0
70,5,377,0.0041297317354991
71,6,125,0.0
72,6,459,0.0
73,8,140,0.006059926086501669
74,8,145,0.0011185045102509103
75,8,259,0.0
76,9,107,0.0
77,9,134,0.0007093178266624802
78,9,215,0.0007470776384365715
79,9,232,0.0
80,9,234,0.0
81,9,244,0.0
82,9,258,0.0008874894957984577
83,9,280,0.0
84,9,334,0.0
85,9,442,0.0006751794436362485
86,9,445,0.0
87,9,446,0.0
88,9,456,0.0
89,9,466,0.0
90,10,101,0.03180808364797749
91,10,113,0.007937906430822346
92,10,317,0.006328591598160887
93,10,377,0.0
94,11,122,0.0
95,11,173,0.0
96,11,219,0.0
