loading train data... 4903890 184903890
loading test data...
Extracting new features...
grouping by ip-day-hour combination...
grouping by ip-app combination...
grouping by ip-app-os combination...
grouping by : ip_day_chl_var_hour
grouping by : ip_app_os_var_hour
grouping by : ip_app_channel_var_day
grouping by : ip_app_chl_mean_hour
merging...
selcols ['ip', 'channel'] QQ 4
selcols ['ip', 'device', 'os', 'app'] QQ 5
selcols ['ip', 'day', 'hour'] QQ 4
selcols ['ip', 'app'] QQ 4
selcols ['ip', 'app', 'os'] QQ 4
selcols ['ip', 'device'] QQ 4
selcols ['app', 'channel'] QQ 4
selcols ['ip', 'os'] QQ 5
selcols ['ip', 'device', 'os', 'app'] QQ 4
doing nextClick
loading from save file
vars and data type: 
<class 'pandas.core.frame.DataFrame'>
Int64Index: 198790469 entries, 0 to 198790468
Data columns (total 28 columns):
app                         uint16
channel                     uint16
click_id                    float64
click_time                  datetime64[ns]
device                      uint16
ip                          uint32
is_attributed               float64
os                          uint16
hour                        uint8
day                         uint8
ip_tcount                   int64
ip_app_count                int64
ip_app_os_count             int64
ip_tchan_count              float64
ip_app_os_var               float64
ip_app_channel_var_day      float64
ip_app_channel_mean_hour    float64
X0                          int64
X1                          int64
X2                          int64
X3                          int64
X4                          int64
X5                          int64
X6                          int64
X7                          int64
X8                          int64
nextClick                   int64
nextClick_shift             float64
dtypes: datetime64[ns](1), float64(7), int64(13), uint16(4), uint32(1), uint8(2)
memory usage: 35.2 GB
predictors ['nextClick', 'nextClick_shift', 'app', 'device', 'os', 'channel', 'hour', 'day', 'ip_tcount', 'ip_tchan_count', 'ip_app_count', 'ip_app_os_count', 'ip_app_os_var', 'ip_app_channel_var_day', 'ip_app_channel_mean_hour', 'X0', 'X1', 'X2', 'X3', 'X4', 'X5', 'X6', 'X7', 'X8']
train size:  155000000
valid size:  25000000
test size :  18790469
Training...
preparing validation datasets
Training until validation scores don't improve for 30 rounds.
[10]	train's auc: 0.966807	valid's auc: 0.962613
[20]	train's auc: 0.971863	valid's auc: 0.967509
[30]	train's auc: 0.973795	valid's auc: 0.969828
[40]	train's auc: 0.975841	valid's auc: 0.972456
[50]	train's auc: 0.977383	valid's auc: 0.974471
[60]	train's auc: 0.978808	valid's auc: 0.976372
[70]	train's auc: 0.979717	valid's auc: 0.977632
[80]	train's auc: 0.980445	valid's auc: 0.978612
[90]	train's auc: 0.980965	valid's auc: 0.979322
[100]	train's auc: 0.981442	valid's auc: 0.979943
[110]	train's auc: 0.981786	valid's auc: 0.98041
[120]	train's auc: 0.982037	valid's auc: 0.980736
[130]	train's auc: 0.982302	valid's auc: 0.981075
[140]	train's auc: 0.982533	valid's auc: 0.981444
[150]	train's auc: 0.982722	valid's auc: 0.981661
[160]	train's auc: 0.98287	valid's auc: 0.981865
[170]	train's auc: 0.983032	valid's auc: 0.982057
[180]	train's auc: 0.983148	valid's auc: 0.982209
[190]	train's auc: 0.983279	valid's auc: 0.982352
[200]	train's auc: 0.983387	valid's auc: 0.982469
[210]	train's auc: 0.983479	valid's auc: 0.982551
[220]	train's auc: 0.98357	valid's auc: 0.982647
[230]	train's auc: 0.983654	valid's auc: 0.982732
[240]	train's auc: 0.983734	valid's auc: 0.982823
[250]	train's auc: 0.983809	valid's auc: 0.982891
[260]	train's auc: 0.98389	valid's auc: 0.98297
[270]	train's auc: 0.983968	valid's auc: 0.983045
[280]	train's auc: 0.984026	valid's auc: 0.983083
[290]	train's auc: 0.984093	valid's auc: 0.983134
[300]	train's auc: 0.984144	valid's auc: 0.983186
[310]	train's auc: 0.984197	valid's auc: 0.983234
[320]	train's auc: 0.98425	valid's auc: 0.983294
[330]	train's auc: 0.98431	valid's auc: 0.983346
[340]	train's auc: 0.984363	valid's auc: 0.983394
[350]	train's auc: 0.98441	valid's auc: 0.983439
[360]	train's auc: 0.984456	valid's auc: 0.983481
[370]	train's auc: 0.984499	valid's auc: 0.983532
