ip,ip_app_4
9,1
19,1
20,3
27,7
31,6
36,3
45,1
60,2
81,4
88,3
92,3
95,3
108,1
117,11
122,1
126,1
129,3
134,4
147,1
151,1
169,1
174,4
176,3
177,1
178,1
184,4
190,9
195,15
196,10
198,11
199,1
202,11
209,2
220,11
222,7
231,9
235,3
246,10
247,2
254,5
255,15
268,7
278,1
279,6
280,1
288,2
302,2
315,13
340,2
353,3
365,3
368,1
372,4
381,3
387,5
392,8
394,1
405,3
407,4
411,1
432,3
436,1
439,4
440,4
441,5
444,1
445,5
464,2
470,1
472,5
475,3
482,1
489,1
493,4
499,3
509,6
510,7
521,1
522,14
523,5
525,6
531,1
540,1
550,1
552,5
563,7
573,2
585,1
596,7
599,1
603,5
623,4
627,2
645,2
657,2
658,1
666,1
669,1
673,4
676,1
685,5
687,1
705,5
706,1
724,1
728,8
738,3
740,1
742,3
745,1
746,1
750,4
763,13
766,4
767,8
769,1
770,1
772,1
779,5
788,1
798,5
800,1
806,3
807,3
812,10
814,2
815,12
817,1
826,7
831,1
832,5
833,1
835,5
837,3
838,1
846,1
851,1
853,6
860,7
869,9
871,10
873,1
875,2
879,4
892,1
898,1
906,4
913,11
918,6
922,2
925,2
930,2
933,5
944,14
947,7
953,4
959,8
973,7
974,7
988,1
991,4
993,1
1000,7
1003,13
1012,6
1016,2
1025,10
1026,4
1030,1
1036,7
1040,1
1041,12
1044,4
1049,12
1067,4
1070,8
1074,10
1082,14
1089,6
1091,10
1092,8
1096,2
1097,7
1104,1
1105,8
1108,8
1113,1
1114,2
1117,5
1127,11
1140,9
1142,4
1143,8
1147,5
1149,5
1158,2
1165,4
1173,5
1176,9
1186,6
1195,1
1204,12
1206,9
1220,3
1228,7
1235,13
1237,3
1247,3
1256,14
1261,1
1264,1
1266,1
1268,6
1281,4
1285,17
1289,2
1290,1
1292,3
1306,1
1313,9
1314,1
1319,1
1332,9
1337,11
1343,11
1345,2
1357,5
1365,10
1370,1
1372,9
1376,2
1388,4
1393,3
1394,12
1395,5
1413,2
1414,1
1415,13
1419,1
1421,3
1433,9
1439,6
1456,3
1458,6
1462,6
1468,1
1471,1
1477,1
1479,1
1486,3
1493,6
1494,9
1519,14
1523,1
1524,13
1532,1
1543,9
1547,8
1549,6
1556,10
1560,5
1579,2
1583,5
1584,12
1586,3
1600,4
1601,6
1603,9
1611,6
1616,11
1626,8
1632,3
1634,4
1638,10
1655,1
1659,7
1661,5
1665,7
1669,10
1673,16
1675,1
1678,6
1693,1
1694,12
1697,2
1699,7
1700,7
1702,2
1706,1
1709,2
1712,1
1713,4
1716,1
1720,5
1721,1
1722,1
1732,4
1755,4
1759,7
1762,3
1763,10
1766,1
1768,1
1769,6
1771,1
1778,2
1780,10
1785,4
1790,1
1798,2
1800,3
1801,11
1810,7
1813,1
1821,7
1825,2
1826,1
1831,10
1839,1
1863,2
1868,1
1871,3
1881,1
1890,18
1892,7
1900,2
1909,4
1919,6
1921,7
1923,1
1964,5
1990,4
1992,2
1994,2
2017,1
2018,1
2022,8
2027,6
2052,1
2076,20
2086,1
2087,7
2095,20
2105,4
2112,1
2113,6
2119,3
2127,12
2128,1
2144,1
2153,4
2160,6
2162,2
2164,3
2165,8
2171,1
2176,4
2178,4
2180,13
2186,8
2187,2
2189,5
2199,1
2201,11
2207,11
2208,6
2210,8
2211,10
2214,1
2228,5
2235,9
2237,3
2238,1
2254,12
2259,1
2272,6
2277,6
2281,2
2284,4
2290,8
2293,5
2299,1
2306,7
2311,2
2321,6
2332,8
2334,12
2336,1
2343,1
2348,13
2357,7
2358,3
2359,1
2372,7
2378,1
2382,1
2385,7
2388,3
2391,1
2399,4
2400,1
2404,10
2407,9
2409,5
2415,6
2435,1
2437,8
2440,2
2442,3
2450,1
2458,1
2463,9
2468,9
2469,9
2471,1
2478,7
2491,6
2494,5
2502,3
2508,1
2509,5
2511,3
2513,3
2528,11
2531,1
2538,1
2539,3
2544,1
2550,2
2556,11
2561,8
2563,1
2564,11
2565,10
2572,11
2574,6
2578,6
2585,5
2589,12
2596,1
2600,13
2602,1
2603,10
2609,7
2614,1
2615,3
2631,1
2638,4
2643,7
2647,2
2649,5
2651,5
2652,1
2654,3
2655,7
2657,10
2660,12
2668,2
2669,11
2671,10
2680,2
2682,2
2683,6
2684,2
2696,5
2698,7
2710,2
2711,5
2713,4
2714,4
2720,1
2728,2
2732,5
2735,2
2736,2
2740,2
2741,2
2742,3
2748,4
2751,1
2759,13
2760,5
2765,4
2768,1
2770,11
2773,4
2774,5
2779,1
2780,9
2782,2
2784,5
2801,1
2805,15
2808,2
2810,10
2813,2
2814,4
2821,7
2825,7
2841,8
2842,4
2844,1
2847,9
2849,4
2850,1
2851,1
2852,2
2857,2
2858,11
2864,5
2872,12
2876,2
2882,4
2884,1
2886,3
2895,5
2899,1
2903,1
2905,6
2907,4
2911,9
2919,1
2929,2
2933,2
2936,3
2937,5
2938,10
2941,3
2944,9
2949,1
2959,1
2965,5
2966,1
2970,1
2976,4
2979,2
2982,1
2986,1
2988,1
2996,1
3005,2
3009,13
3015,2
3019,10
3020,1
