ip,app,ip_app_channel_0
9,18,1
19,9,1
20,2,1
20,3,1
20,9,1
27,2,1
27,3,1
27,9,1
27,12,1
27,14,1
27,15,1
27,18,1
31,1,1
31,2,1
31,9,2
31,12,2
31,13,1
31,15,1
36,12,1
36,15,1
36,18,1
45,29,1
60,9,1
60,15,1
81,1,2
81,8,6
81,9,2
81,15,2
88,3,2
88,9,1
88,12,1
92,3,2
92,9,1
92,21,2
95,12,1
95,15,1
95,18,1
108,9,1
117,1,1
117,2,1
117,3,2
117,9,1
117,10,1
117,12,1
117,14,1
117,15,1
117,23,1
117,26,1
117,27,1
122,3,1
126,35,1
129,2,1
129,8,1
129,9,1
134,9,1
134,12,1
134,18,1
134,26,1
147,17,1
151,9,2
169,9,1
174,3,1
174,14,1
174,15,1
174,18,1
176,23,1
176,26,1
176,27,1
177,9,1
178,18,1
184,2,1
184,3,1
184,14,1
184,15,1
190,1,1
190,2,1
190,3,1
190,9,1
190,10,1
190,12,1
190,14,1
190,15,1
190,28,1
195,1,2
195,2,1
195,3,2
195,5,1
195,8,2
195,9,3
195,10,1
195,11,1
195,12,1
195,14,1
195,15,1
195,18,1
195,23,1
195,26,1
195,28,1
196,1,1
196,2,1
196,3,2
196,6,1
196,9,1
196,12,2
196,14,1
196,15,1
196,18,1
196,64,1
198,2,1
198,3,2
198,6,1
198,9,2
198,12,1
198,13,1
198,15,1
198,17,1
198,25,2
198,29,1
198,85,1
199,112,1
202,2,1
202,3,3
202,11,1
202,12,1
202,13,1
202,14,1
202,15,2
202,18,1
202,22,1
202,23,1
202,26,1
209,9,1
209,12,1
220,1,1
220,2,1
220,3,1
220,9,3
220,12,2
220,14,1
220,15,1
220,18,1
220,23,1
220,26,2
220,28,1
222,2,1
222,3,2
222,6,1
222,9,1
222,15,1
222,18,3
222,25,2
231,2,1
231,3,1
231,6,1
231,9,1
231,12,1
231,13,1
231,14,1
231,15,1
231,18,1
235,6,1
235,17,1
235,21,1
246,2,1
246,3,2
246,9,1
246,12,1
246,14,1
246,15,1
246,18,1
246,23,1
246,26,1
246,28,1
247,2,1
247,110,2
254,2,1
254,3,3
254,6,1
254,9,3
254,25,2
255,1,2
255,2,2
255,3,3
255,9,2
255,11,1
255,12,4
255,13,1
255,14,1
255,18,2
255,21,1
255,22,1
255,23,1
255,26,3
255,27,1
255,28,1
268,1,1
268,8,1
268,9,3
268,12,3
268,15,1
268,17,2
268,18,1
278,6,1
279,1,2
279,2,1
279,8,6
279,9,3
279,15,2
279,18,1
280,18,1
288,14,1
288,15,1
302,2,3
302,18,1
315,3,2
315,8,1
315,9,1
315,10,1
315,11,1
315,12,1
315,14,1
315,15,1
315,18,1
315,22,1
315,23,1
315,26,1
315,28,1
340,12,1
340,64,1
353,3,2
353,15,1
353,18,1
365,2,1
365,14,1
365,15,2
368,9,1
372,2,1
372,3,1
372,14,1
372,15,1
381,6,1
381,12,1
381,18,2
387,2,1
387,9,1
387,13,1
387,18,1
387,21,1
392,1,1
392,3,2
392,9,1
392,11,1
392,12,1
392,14,2
392,15,1
392,18,1
394,12,1
405,3,1
405,12,1
405,18,2
407,2,1
407,3,1
407,14,1
407,15,1
411,18,1
432,9,1
432,18,1
432,21,1
436,3,1
439,2,2
439,3,1
439,12,1
439,21,1
440,1,2
440,8,6
440,9,2
440,15,2
441,3,1
441,9,2
441,12,2
441,21,1
441,25,2
444,19,1
445,1,1
445,9,1
445,12,1
445,13,1
445,29,1
464,3,1
464,15,1
470,38,1
472,1,1
472,9,3
472,12,3
472,14,1
472,21,1
475,9,1
475,12,2
475,150,1
482,19,1
489,3,1
493,1,1
493,8,3
493,9,1
493,15,1
499,2,1
499,8,2
499,12,2
509,1,1
509,3,1
509,12,4
509,15,3
509,18,3
509,26,1
510,1,1
510,3,1
510,12,2
510,13,1
510,15,1
510,17,1
510,21,1
521,9,3
522,1,1
522,2,1
522,3,3
522,9,2
522,10,1
522,11,1
522,12,1
522,13,1
522,14,2
522,15,2
522,18,1
522,22,1
522,26,1
522,28,1
523,2,1
523,3,2
523,11,1
523,14,1
523,18,2
525,1,1
525,8,3
525,9,3
525,15,1
525,18,1
525,21,1
531,17,1
540,12,1
550,9,2
552,2,1
552,3,2
552,6,1
552,9,3
552,25,2
563,1,2
563,8,1
563,9,3
563,12,2
563,20,1
563,21,1
563,24,1
573,15,1
573,29,2
585,13,1
596,1,1
596,6,1
596,9,2
596,12,1
596,13,1
596,18,1
596,64,1
599,12,1
603,2,2
603,3,2
603,12,2
603,14,2
603,15,2
623,3,2
623,9,1
623,12,1
623,150,2
627,17,1
627,21,1
645,3,1
645,15,1
657,3,1
657,15,1
658,9,1
666,18,1
669,9,1
673,6,1
673,18,1
673,23,1
673,64,1
676,9,2
685,1,1
685,9,1
685,12,1
685,13,1
685,15,1
687,19,2
705,8,3
705,9,1
705,12,1
705,15,1
705,18,1
706,15,1
724,9,1
728,2,1
728,3,1
728,11,1
728,14,1
728,15,1
728,18,1
728,23,1
728,27,1
738,3,1
738,9,1
738,12,1
740,12,1
742,3,2
742,14,1
742,15,1
745,9,1
746,3,1
750,9,2
750,12,2
750,13,1
750,17,2
763,2,1
763,3,2
763,9,1
763,11,1
763,12,1
763,14,1
763,15,2
763,17,1
763,18,1
763,23,1
763,26,1
763,27,1
763,35,1
766,8,2
766,9,2
766,12,2
766,13,1
767,1,6
767,8,12
767,9,6
767,12,2
767,15,4
767,17,1
767,21,1
767,26,1
769,2,1
770,2,1
772,9,1
779,2,1
779,3,1
779,11,1
779,14,1
779,20,1
788,9,2
798,2,1
798,3,2
798,12,1
798,14,1
798,15,1
800,18,1
806,3,1
806,15,1
806,18,2
807,6,2
807,12,2
807,18,1
812,1,3
812,3,2
812,9,1
812,12,3
812,14,1
812,15,1
812,21,1
812,23,1
812,26,1
812,27,1
814,3,1
814,12,1
815,1,1
815,2,2
815,3,3
815,9,1
815,11,1
815,12,1
815,13,1
815,14,2
815,15,2
815,18,1
815,26,1
815,28,1
817,18,3
826,2,1
826,3,1
826,13,1
826,14,1
826,15,2
826,18,1
826,20,1
831,3,1
832,3,2
832,9,1
832,12,1
832,15,1
832,21,1
833,3,1
835,2,1
835,6,1
835,13,1
835,19,1
835,64,1
837,2,1
837,8,2
837,12,2
838,26,1
846,18,1
851,2,1
853,1,2
853,8,2
853,9,4
853,12,2
853,20,2
853,24,2
860,3,2
860,6,1
860,9,2
860,12,2
860,15,1
860,18,1
860,64,1
869,1,1
869,2,1
869,3,2
869,9,2
869,11,1
869,12,2
869,13,1
869,15,1
869,21,1
871,1,1
871,2,1
871,3,1
871,6,1
