ip,day,ip_day_hour_4
9,10,1
19,10,1
20,10,1
27,10,1
31,6,1
31,10,1
36,6,1
45,10,1
60,6,1
60,10,1
81,6,1
88,10,1
92,6,1
95,6,1
108,10,1
117,10,1
122,6,1
126,6,1
129,10,1
134,10,1
147,10,1
151,6,1
151,10,1
169,6,1
174,10,1
176,6,1
177,10,1
178,10,1
184,10,1
190,10,1
195,6,1
195,10,1
196,6,1
196,10,1
198,6,1
198,10,1
199,10,1
202,10,1
209,6,1
220,10,1
222,6,1
231,6,1
235,6,1
235,10,1
246,6,1
247,6,1
247,10,1
254,10,1
255,10,1
268,6,1
268,10,1
278,10,1
279,6,1
280,10,1
288,6,1
302,6,1
302,10,1
315,6,1
315,10,1
340,6,1
353,6,1
353,10,1
365,6,1
365,10,1
368,6,1
372,10,1
381,6,1
381,10,1
387,10,1
392,6,1
392,10,1
394,10,1
405,6,1
405,10,1
407,10,1
411,10,1
432,10,1
436,10,1
439,6,1
440,6,1
441,10,1
444,6,1
445,6,1
445,10,1
464,6,1
470,6,1
472,6,1
472,10,1
475,6,1
482,10,1
489,10,1
493,6,1
499,10,1
509,6,1
509,10,1
510,6,1
510,10,1
521,10,1
522,10,1
523,10,1
525,6,1
525,10,1
531,10,1
540,10,1
550,10,1
552,10,1
563,6,1
563,10,1
573,10,1
585,10,1
596,6,1
596,10,1
599,10,1
603,10,1
623,6,1
627,10,1
645,6,1
657,10,1
658,6,1
666,10,1
669,10,1
673,6,1
673,10,1
676,10,1
685,6,1
687,10,1
705,6,1
705,10,1
706,6,1
724,6,1
728,6,1
738,6,1
740,10,1
742,10,1
745,6,1
746,6,1
750,10,1
763,6,1
763,10,1
766,10,1
767,6,1
767,10,1
769,6,1
770,6,1
772,10,1
779,10,1
788,10,1
798,10,1
800,10,1
806,6,1
807,10,1
812,6,1
812,10,1
814,6,1
815,10,1
817,10,1
826,6,1
831,10,1
832,6,1
832,10,1
833,10,1
835,6,1
835,10,1
837,6,1
837,10,1
838,10,1
846,10,1
851,10,1
853,6,1
860,6,1
869,6,1
869,10,1
871,6,1
871,10,1
873,6,1
875,10,1
879,6,1
892,6,1
898,10,1
906,10,1
913,6,2
918,6,1
918,10,1
922,10,1
925,6,1
930,10,1
933,10,1
944,6,1
944,10,1
947,10,1
953,10,1
959,6,1
959,10,1
973,6,1
973,10,1
974,6,2
974,10,1
988,6,1
991,10,1
993,10,1
1000,10,1
1003,6,1
1003,10,1
1012,6,1
1012,10,1
1016,6,1
1025,6,2
1025,10,1
1026,10,1
1030,10,1
1036,6,1
1040,10,1
1041,6,1
1041,10,1
1044,10,1
1049,6,1
1049,10,1
1067,6,1
1070,6,1
1070,10,1
1074,6,1
1074,10,1
1082,6,1
1082,10,1
1089,6,1
1089,10,1
1091,6,1
1091,10,1
1092,6,1
1092,10,1
1096,10,1
1097,10,1
1104,10,1
1105,10,1
1108,6,1
1108,10,1
1113,10,1
1114,6,1
1117,6,1
1117,10,1
1127,10,1
1140,6,1
1142,6,1
1143,10,1
1147,10,1
1149,10,1
1158,10,1
1165,10,1
1173,10,1
1176,6,1
1176,10,1
1186,6,1
1186,10,1
1195,10,1
1204,10,1
1206,6,1
1206,10,1
1220,10,1
1228,10,1
1235,6,1
1235,10,1
1237,6,1
1237,10,1
1247,10,1
1256,6,1
1256,10,1
1261,6,1
1261,10,1
1264,10,1
1266,6,1
1268,10,1
1281,10,1
1285,6,1
1285,10,1
1289,6,1
1289,10,1
1290,10,1
1292,6,1
1292,10,1
1306,10,1
1313,6,1
1313,10,1
1314,10,1
1319,6,1
1332,10,1
1337,6,1
1337,10,1
1343,6,1
1343,10,1
1345,10,1
1357,10,1
1365,6,1
1365,10,1
1370,10,1
1372,6,1
1372,10,1
1376,10,1
1388,10,1
1393,10,1
1394,10,1
1395,6,1
1395,10,1
1413,6,1
1414,6,1
1415,6,1
1415,10,1
1419,6,1
1421,10,1
1433,6,1
1433,10,1
1439,6,1
1456,10,1
1458,10,1
1462,6,1
1462,10,1
1468,10,1
1471,10,1
1477,10,1
1479,10,1
1486,10,1
1493,10,1
1494,6,1
1494,10,1
1519,6,1
1519,10,1
1523,10,1
1524,10,1
1532,10,1
1543,6,1
1547,10,1
1549,6,1
1556,10,1
1560,6,1
1560,10,1
1579,6,1
1583,6,1
1584,6,1
1584,10,1
1586,6,1
1600,10,1
1601,10,1
1603,6,1
1611,10,1
1616,10,1
1626,6,1
1626,10,1
1632,10,1
1634,6,1
1634,10,1
1638,10,1
1655,6,1
1659,6,1
1659,10,1
1661,6,1
1661,10,1
1665,6,1
1665,10,1
1669,10,1
1673,10,1
1675,10,1
1678,10,1
1693,10,1
1694,6,1
1694,10,1
1697,6,1
1699,6,1
1700,10,1
1702,6,1
1706,10,1
1709,6,1
1712,10,1
1713,10,1
1716,6,1
1720,6,1
1720,10,1
1721,6,1
1722,10,1
1732,6,1
1755,6,1
1759,6,1
1759,10,1
1762,10,1
1763,6,1
1763,10,1
1766,10,1
1768,6,1
1769,6,1
1769,10,1
1771,10,1
1778,6,1
1780,6,1
1780,10,1
1785,10,1
1790,10,1
1798,6,1
1800,10,1
1801,6,1
1801,10,1
1810,6,1
1810,10,1
1813,10,1
1821,10,1
1825,10,1
1826,10,1
1831,10,1
1839,10,1
1863,6,1
1863,10,1
1868,6,1
1871,6,1
1881,6,1
1890,6,1
1890,10,1
1892,6,1
1900,10,1
1909,6,1
1909,10,1
1919,6,1
1919,10,1
1921,10,1
1923,6,1
1964,10,1
1990,10,1
