ip,day,hour,ip_day_hour_channel_0
9,10,4,1
19,10,4,1
20,10,4,3
27,10,4,7
31,6,16,6
31,10,4,2
36,6,16,3
45,10,4,1
60,6,16,1
60,10,4,1
81,6,16,12
88,10,4,4
92,6,16,5
95,6,16,3
108,10,4,1
117,10,4,12
122,6,16,1
126,6,16,1
129,10,4,3
134,10,4,4
147,10,4,1
151,6,16,1
151,10,4,1
169,6,16,1
174,10,4,4
176,6,16,3
177,10,4,1
178,10,4,1
184,10,4,4
190,10,4,9
195,6,16,6
195,10,4,14
196,6,16,6
196,10,4,6
198,6,16,9
198,10,4,5
199,10,4,1
202,10,4,14
209,6,16,2
220,10,4,15
222,6,16,11
231,6,16,9
235,6,16,1
235,10,4,2
246,6,16,11
247,6,16,1
247,10,4,2
254,10,4,10
255,10,4,26
268,6,16,4
268,10,4,8
278,10,4,1
279,6,16,15
280,10,4,1
288,6,16,2
302,6,16,1
302,10,4,3
315,6,16,1
315,10,4,13
340,6,16,2
353,6,16,3
353,10,4,1
365,6,16,1
365,10,4,3
368,6,16,1
372,10,4,4
381,6,16,1
381,10,4,3
387,10,4,5
392,6,16,5
392,10,4,5
394,10,4,1
405,6,16,2
405,10,4,2
407,10,4,4
411,10,4,1
432,10,4,3
436,10,4,1
439,6,16,5
440,6,16,12
441,10,4,8
444,6,16,1
445,6,16,4
445,10,4,1
464,6,16,2
470,6,16,1
472,6,16,6
472,10,4,3
475,6,16,4
482,10,4,1
489,10,4,1
493,6,16,6
499,10,4,5
509,6,16,10
509,10,4,3
510,6,16,2
510,10,4,6
521,10,4,3
522,10,4,19
523,10,4,7
525,6,16,1
525,10,4,9
531,10,4,1
540,10,4,1
550,10,4,2
552,10,4,9
563,6,16,10
563,10,4,1
573,10,4,3
585,10,4,1
596,6,16,6
596,10,4,2
599,10,4,1
603,10,4,10
623,6,16,6
627,10,4,2
645,6,16,2
657,10,4,2
658,6,16,1
666,10,4,1
669,10,4,1
673,6,16,2
673,10,4,2
676,10,4,2
685,6,16,5
687,10,4,2
705,6,16,5
705,10,4,2
706,6,16,1
724,6,16,1
728,6,16,8
738,6,16,3
740,10,4,1
742,10,4,4
745,6,16,1
746,6,16,1
750,10,4,7
763,6,16,1
763,10,4,14
766,10,4,7
767,6,16,24
767,10,4,9
769,6,16,1
770,6,16,1
772,10,4,1
779,10,4,5
788,10,4,2
798,10,4,6
800,10,4,1
806,6,16,4
807,10,4,5
812,6,16,11
812,10,4,4
814,6,16,2
815,10,4,17
817,10,4,3
826,6,16,8
831,10,4,1
832,6,16,2
832,10,4,4
833,10,4,1
835,6,16,4
835,10,4,1
837,6,16,1
837,10,4,4
838,10,4,1
846,10,4,1
851,10,4,1
853,6,16,14
860,6,16,10
869,6,16,3
869,10,4,9
871,6,16,9
871,10,4,9
873,6,16,1
875,10,4,3
879,6,16,12
892,6,16,1
898,10,4,2
906,10,4,4
913,6,15,1
913,6,16,14
918,6,16,2
918,10,4,4
922,10,4,5
925,6,16,4
930,10,4,2
933,10,4,5
944,6,16,15
944,10,4,25
947,10,4,8
953,10,4,4
959,6,16,11
959,10,4,2
973,6,16,6
973,10,4,3
974,6,15,1
974,6,16,19
974,10,4,1
988,6,16,1
991,10,4,4
993,10,4,1
1000,10,4,7
1003,6,16,29
1003,10,4,1
1012,6,16,5
1012,10,4,3
1016,6,16,2
1025,6,15,2
1025,6,16,7
1025,10,4,10
1026,10,4,4
1030,10,4,1
1036,6,16,39
1040,10,4,1
1041,6,16,15
1041,10,4,1
1044,10,4,4
1049,6,16,11
1049,10,4,3
1067,6,16,4
1070,6,16,2
1070,10,4,11
1074,6,16,10
1074,10,4,9
1082,6,16,11
1082,10,4,21
1089,6,16,4
1089,10,4,3
1091,6,16,16
1091,10,4,3
1092,6,16,14
1092,10,4,1
1096,10,4,2
1097,10,4,8
1104,10,4,1
1105,10,4,9
1108,6,16,1
