ip,ip_device_4
9,1
19,1
20,1
27,1
31,1
36,1
45,1
60,1
81,1
88,1
92,2
95,1
108,1
117,1
122,1
126,1
129,1
134,1
147,1
151,1
169,1
174,1
176,1
177,1
178,1
184,1
190,1
195,1
196,1
198,2
199,1
202,1
209,1
220,1
222,1
231,2
235,1
246,1
247,2
254,1
255,1
268,1
278,1
279,2
280,1
288,1
302,2
315,1
340,1
353,1
365,1
368,1
372,1
381,1
387,1
392,1
394,1
405,1
407,1
411,1
432,1
436,1
439,1
440,1
441,2
444,1
445,2
464,1
470,1
472,1
475,1
482,1
489,1
493,1
499,1
509,1
510,1
521,1
522,1
523,1
525,1
531,1
540,1
550,1
552,1
563,1
573,1
585,1
596,1
599,1
603,1
623,1
627,1
645,1
657,1
658,1
666,1
669,1
673,1
676,1
685,1
687,1
705,1
706,1
724,1
728,1
738,1
740,1
742,1
745,1
746,1
750,1
763,1
766,1
767,1
769,1
770,1
772,1
779,1
788,1
798,1
800,1
806,1
807,1
812,1
814,1
815,1
817,1
826,1
831,1
832,1
833,1
835,2
837,1
838,1
846,1
851,1
853,1
860,1
869,1
871,2
873,1
875,1
879,1
892,1
898,1
906,1
913,2
918,1
922,1
925,1
930,1
933,1
944,1
947,1
953,1
959,2
973,1
974,2
988,1
991,1
993,1
1000,1
1003,1
1012,1
1016,1
1025,2
1026,1
1030,1
1036,2
1040,1
1041,1
1044,1
1049,2
1067,1
1070,1
1074,2
1082,2
1089,1
1091,2
1092,2
1096,1
1097,1
1104,1
1105,1
1108,2
1113,1
1114,1
1117,1
1127,2
1140,1
1142,1
1143,1
1147,1
1149,1
1158,1
1165,1
1173,1
1176,1
1186,1
1195,1
1204,1
1206,1
1220,1
1228,1
1235,1
1237,1
1247,1
1256,2
1261,1
1264,1
1266,1
1268,1
1281,1
1285,1
1289,1
1290,1
1292,1
1306,1
1313,2
1314,1
1319,1
1332,1
1337,2
1343,1
1345,1
1357,1
1365,1
1370,1
1372,2
1376,2
1388,1
1393,1
1394,1
1395,1
1413,1
1414,1
1415,1
1419,1
1421,1
1433,1
1439,2
1456,1
1458,1
1462,1
1468,1
1471,1
1477,1
1479,1
1486,1
1493,1
1494,1
1519,2
1523,1
1524,1
1532,1
1543,1
1547,1
1549,1
1556,1
1560,1
1579,1
1583,1
1584,1
1586,1
1600,1
1601,1
1603,1
1611,1
1616,1
1626,1
1632,1
1634,1
1638,1
1655,1
1659,1
1661,1
1665,1
1669,1
1673,1
1675,1
1678,1
1693,1
1694,1
1697,1
1699,1
1700,1
1702,1
1706,1
1709,1
1712,1
1713,1
1716,1
1720,1
1721,1
1722,1
1732,1
1755,1
1759,1
1762,2
1763,1
1766,1
1768,1
1769,2
1771,1
1778,1
1780,1
1785,1
1790,1
1798,1
1800,1
1801,1
1810,1
1813,1
1821,1
1825,1
1826,1
1831,1
1839,1
1863,2
1868,1
1871,1
1881,1
1890,1
1892,1
1900,1
1909,2
1919,1
1921,1
1923,1
1964,1
1990,1
1992,1
1994,1
2017,1
2018,1
2022,1
2027,1
2052,1
2076,3
2086,1
2087,1
2095,3
2105,1
2112,1
2113,2
2119,1
2127,2
2128,1
2144,1
2153,1
2160,1
2162,1
2164,1
2165,1
2171,1
2176,1
2178,2
2180,2
2186,2
2187,2
2189,1
2199,1
2201,1
2207,3
2208,1
2210,2
2211,1
2214,1
2228,1
2235,1
2237,1
2238,1
2254,1
2259,1
2272,1
2277,1
2281,1
2284,2
2290,1
2293,1
2299,1
2306,1
2311,1
2321,1
2332,2
2334,2
2336,1
2343,1
2348,1
2357,1
2358,1
2359,1
2372,1
2378,1
2382,1
2385,1
2388,1
2391,1
2399,1
2400,1
2404,1
2407,2
2409,1
2415,1
2435,1
2437,1
2440,1
2442,1
2450,1
2458,1
2463,1
2468,1
2469,1
2471,1
2478,2
2491,1
2494,1
2502,1
2508,1
2509,1
2511,1
2513,1
2528,1
2531,1
2538,1
2539,1
2544,1
2550,1
2556,1
2561,1
2563,1
2564,2
2565,1
2572,1
2574,1
2578,2
2585,1
2589,1
2596,1
2600,2
2602,1
2603,1
2609,1
2614,1
2615,1
2631,1
2638,1
2643,1
2647,1
2649,1
2651,1
2652,1
2654,1
2655,1
2657,1
2660,1
2668,1
2669,1
2671,1
2680,1
2682,1
2683,1
2684,1
2696,1
2698,1
2710,1
2711,1
2713,1
2714,1
2720,1
2728,1
2732,1
2735,1
2736,2
2740,1
2741,1
2742,1
2748,1
2751,1
2759,1
2760,2
2765,1
2768,1
2770,2
2773,1
2774,1
2779,1
2780,1
2782,1
2784,1
2801,1
2805,2
2808,1
2810,1
2813,1
2814,1
2821,1
2825,1
2841,1
2842,1
2844,1
2847,1
2849,1
2850,1
2851,1
2852,1
2857,1
2858,1
2864,1
2872,2
2876,1
2882,1
2884,1
2886,1
2895,2
2899,1
2903,1
2905,1
2907,1
2911,1
2919,1
2929,1
2933,1
2936,1
2937,1
2938,1
2941,1
2944,1
2949,1
2959,1
2965,1
2966,1
2970,1
2976,1
2979,1
2982,1
2986,1
2988,1
2996,1
3005,1
3009,1
3015,1
3019,1
3020,1
